ID,premise_english,hypothesis_english,original_label,assigned_phenomenon
WANLI15380,"I can't help thinking that if you were in a position to help, you would have done so.","I would have done so, if I were in a position to help.",Neutral,conditionality
WANLI15478,"If the worker's job was to work the machine, the machine was the worker's boss.",The machine was not the worker's boss.,Neutral,conditionality
WANLI15616,We'll go if you're sure.,You're sure.,Neutral,conditionality
WANLI15748,"If this happens, we will have to reconsider our current policies.",This will have to be re-evaluated.,Neutral,conditionality
WANLI15932,"If you think I'm so clever, why don't you go and see the police?",I think you are very clever.,Neutral,conditionality
WANLI16150,"If I had not asked, he would not have answered.",He would have answered anyway.,Contradiction,conditionality
WANLI16409,"If they can't afford to buy a car, they can't afford to go to the movies.",They can't afford to go to the movies.,Neutral,conditionality
WANLI16463,"If you have to have an argument, have it with me.","If you have to have an argument, have it with your girlfriend.",Contradiction,conditionality
WANLI16523,"In other words, if we have a pair of opposites, we can always get a contradiction.","If we have a pair of opposites, we can always get a false dichotomy.",Contradiction,conditionality
WANLI16564,"If you don't, the company will be put out of business.",The company will be put out of business.,Neutral,conditionality
WANLI16712,It is not as if the country has no interest in the problem.,"The country has no interest in the problem, because the media has decided to ignore it.",Contradiction,conditionality
WANLI16928,"For example, in some states, if a couple has a child before they are married, the child is considered illegitimate.",The child is not illegitimate.,Neutral,conditionality
WANLI17199,"If the new legislation is passed, it will be possible to create a separate Ministry of Women's Affairs.","If the new legislation is passed, a separate Ministry of Women's Affairs will be created.",Neutral,conditionality
WANLI17289,"If the military establishment has to act in this way, it is because it is only a shadow of the great army that was once the pride of the nation.",The military has been greatly reduced in size.,Entailment,conditionality
WANLI17458,"If you don't, you will be responsible for the entire cost of the repairs.","If you don't do the repairs, you will be responsible for the entire cost of the repairs.",Neutral,conditionality
WANLI17463,"If you have a complaint, write to the Postmaster General.","If you have a complaint, write to the president.",Neutral,conditionality
WANLI17582,"If I'd known, I would have told you.",I knew that you would tell me.,Neutral,conditionality
WANLI17635,"If you are in the mood for some 'bistro music', I would recommend the chef's special of the day.",The chef's special of the day is a good place to have dinner.,Neutral,conditionality
ANLI1632,Brook Eats Thai Food<br>Brook wants to try a new type of food. She hears that there is a Thai food open in her neighborhood. Brooke tries it out. It is spicy but good. Brooke is happy to have tried new food.,Brook tried Thai food for the first time,Entailment,intensionality
ANLI1959,"All right. It's admitted subject to the defendants' objection. P60 is the letter from School Board Member Geesey to the editor again. I think I noted that it was admitted. Over the objection already of the defendants, we'll reaffirm that, but you can make any other objections you want to on the record, but I think that was thoroughly argued at that time.",P60 is the letter from a school board member to the editor in which they retell what happens in the case.,Neutral,intensionality
ANLI1994,How to find yearbooks<br>Reach out to the school's media center. The media center at the high school is usually in charge of keeping copies of previous yearbooks. Look for a contact number for the media center at the school online or call the front desk at the school and ask to be connected to the media center department.,School libraries have yearbooks.,Neutral,intensionality
ANLI2325,"WASHINGTON, Sept 26 Individuals seeking health insurance under Obamacare through new federal marketplaces will be able to enroll online as planned beginning Oct. 1, despite a one-month delay for small businesses, the Obama administration said on Thursday. ""The individual marketplace will still open on time on Oct. 1 with full online enrollment,"" U.S. Department of Health and Human Services spokeswoman Joanne Peters said in a statement. (Reporting by David Morgan; Editing by Lisa Von Ahn)",This story was reported by a man,Entailment,intensionality
ANLI2937,How to find time for coffee in the morning<br>Every night prepare your coffee. Put a filter and the amount of ground coffee you need in the coffee maker. Pour in the amount of water you'll need as well.,The guide does not advise people to prepare the coffee in the middle of the day.,Entailment,intensionality
ANLI3433,"1999<br>In 1999, I met Jason via an online chat forum. We got along ok, but I really only wanted an escape. When he came to pick me up, I went with him sight unseen. I moved to oklahoma with him. We ended up getting married unnecessarily.",I did not get along well with jason,Contradiction,intensionality
ANLI3994,"They 'll think it 's splendid , '' said Amy , much impressed by the note .<br>`` Try it , honey .<br>Let 's hear the sound of the baby pianny , '' said Hannah , who always took a share in the family joys and sorrows .<br>So Beth tried it , and everyone pronounced it the most remarkable piano ever heard .",They were referring to a violin.,Contradiction,intensionality
ANLI4271,"Apart from the new substances entering the market, the phase out of existing ones, which have been definitely identified as damaging the ozone layer, is far from complete.",Some substances need to be taken off the market due to their environmental impact.,Entailment,intensionality
ANLI4670,The commission's order on the proposed hydroelectric development shall describe the Energy Facility Siting Council's recommendations on the need for the power.,The commission is considering a proposal on wind power.,Contradiction,intensionality
ANLI4818,Germany<br>The man went to Germany. He didn't want to look like a tourist. He went to a traditional clothing shop. He put on an outfit he bought. He still looked like a tourist.,The man despises Germany.,Neutral,intensionality
ANLI4956,"How to make taro in coconut cream and honey<br>Using a peeler, peel off the outer covering of four individual tubers of taro. Wash the taro to remove all traces of dirt. Cut the peeled and washed taro into halves.",Water will be needed,Entailment,intensionality
ANLI4958,"Image copyright Reuters Britain's Mark Cavendish pulled out of the Tour de France after breaking his right shoulder in a crash. The 32-year-old from the Isle of Man collided with the world champion Peter Sagan before hitting the barriers in a sprint finish. Cavendish, who is just five stage wins away from a Tour record for the most victories, said he was ""massively disappointed"". The race doctor says Mark, who won a silver medal at the Rio2016 Olympic Games, needs rest but won't need an operation. Peter Sagan has been disqualified from the race for dangerous riding.",Mark Cavendish pulled out of the Tour de France.,Entailment,intensionality
ANLI5001,"How to conduct an interview via email<br>Get the subject's approval prior to drafting questions for and sending the interview email. Call her or send an email explaining who you are, what the story you are writing is about, and the types of information you hope to garner from the responses. Indicate why you think she is a good source for your story.","After you indicate why you think she is a good source for your story, wait until after the interview to blackmail them.",Neutral,intensionality
ANLI5283,"RED VERSUS YELLOW In broad terms, Thailand's crisis is a battle between the ""yellow shirts"" -- royalists, the military and urban Thais, who back Prime Minister Abhisit Vejjajiva -- and the ""red shirts"" -- supporters of former premier Thaksin Shinawatra whose power base was mainly drawn from the country's millions of rural poor. Bureaucratic and military elites have run Thailand for decades, with the poor excluded except during elections when competing parties would try to buy their votes. When Thaksin swept to power in 2000, promising a raft of policies aimed at the poor, things changed.",The royalists only wear yellow,Neutral,intensionality
ANLI5966,"How to write a letter to your best friend<br>Take notes. It can be scary to sit down to a blank page and try to write a long, meaningful letter. Even though you know your best friend well, it can still be difficult to think of what to write.",think about a good memory can be usefull to write a letter,Neutral,intensionality
ANLI6959,Arrow<br>Ethan didn't know what sign to follow. One sign had an arrow to the left. Another sign had the arrow to the right. He decided to go to the right. It led him to where he wanted to go.,the right arrow showed the correct way,Entailment,intensionality
ANLI8003,"How to lose weight over 40<br>Enjoy a colorful variety of fruits and vegetables. Every person needs at least 1-1.5 cups (240-260 ml) of fruit and 2.5-3 cups (605-680 ml) of vegetables every day. Eating whole fruits and vegetables including raspberries, kale, squash, blueberries, pineapple or peppers can help you get your daily allowances.",Some fruits are best avoided,Neutral,intensionality
ANLI8160,"Tie Dye<br>His name is Tyler but he prefers to be called by his nickname, Tie Dye. He's a sixteen year old boy who is part of the youth group I lead. Like most teens, Tie Dye is quite the challenge to lead. His home life is unstable and his temperament always reflects that. He's a great guy but he needs to grow up quickly.",Tie Dye will be eighteen on his next birthday.,Contradiction,intensionality
ANLI9718,A Girl Name Reagan<br>Tim was asked to show the new student around. He was to wait in the school office for a student named Reagan. Waiting for the student to arrive he wondered what they would be like. Tim assumed the person would be tall like him and a boy. When the person finally arrived it was short girl dressed all in blue.,The new student needed to be shown around.,Entailment,intensionality
ANLI9871,"Now, there's more work to do. Remains to be seen, however, whether or not there's going to be a political settlement in Kosovo, and I certainly hope there is one. Also on record as saying at some point in time I hope our European friends become the peacekeepers in Bosnia and in the Balkans.",Europeans are peacekeepers in Bosnia,Contradiction,intensionality
ANLI9992,How to keep your balance on a galloping horse<br>Ride the horse at a walk or trot for at least ten minutes. Before you allow the horse to begin galloping you need to get it warmed up. This will enable the horse to stretch out its body in preparation for swift movement.,The horse needs to be a tame horse.,Neutral,intensionality
ANLI10231,"How to rip content protected cds without using the bundled software<br>You need to disable autorun. Do this by running regedit. Exe (press start, run, type regedit, press enter). In the registry editor, navigate to hkey _ local _ machine \ system \ currentcontrolset \ services \ cdrom.",The process can be used to rip DVDs.,Neutral,intensionality
ANLI10234,"According to the captain, the 1999 ferry was inspected by the Transport Ministry on December 9 and was certified to be in good condition. ""It seems that due to the weather conditions the chance is little, but we still hope,"" Djamal stated. With 17 crew members, and carrying 200 tons of cargo, the ill-fated PT Nur Budi owned and operated ferry sank so fast that the crew ""had no chance to ask the passengers to wear life jackets.""",The inspector certified it but was aware of the issues,Neutral,intensionality
ANLI10962,Missed appointment<br>Suzy made an appointment to get her hair done. She promised she would be there. But the next day she woke up late. Therefore she couldn't make it. She missed it but they still charged her.,Suzy needed a trim,Neutral,intensionality
ANLI11158,"Barbie House for Meredith<br>Meredith wanted a Barbie doll house for Christmas. Her parents told her not to expect one. She hoped that Santa would bring her one anyways. On Christmas morning, she rushed downstairs. Her very own Barbie house was under the tree!",It was a used toy,Neutral,intensionality
ANLI11445,"These 109 petitioners from my riding and outside my riding ask that the money presently aimed at the creation and implementation of the gun registration system be redirected toward more cost effective methods of fighting crime in this country, including more police on the streets, crime prevention programs, suicide prevention programs, women's crisis centres, anti-smuggling campaigns and more resources for fighting organized crime and street gangs.",Guns are expensive and the police need the money redirected to them.,Neutral,intensionality
ANLI11589,The Reporter<br>Maya liked writing for the school newspaper. She enjoyed reporting on daily school activities. Maya wanted to be a reporter one day. She was invited to intern at a local news station. Maya became a well known news reporter.,Maya hated her school.,Neutral,intensionality
ANLI11962,"The Peanuts Section<br>My license expired a few days ago, so I had to go to the DMV. I waited in line for what seemed like an eternity. When I told the woman I needed a license renewed, she gave me a look. Then she clicked her tongue and said the weight needed to be updated. Thanks for the boost of confidence, DMV lady.",The last statement in this context is a sarcastic remark. ,Entailment,intensionality
ANLI12124,Randy gets drunk<br>Randy wants to have a good time. He buys some beers. He drinks them all. He becomes drunk. Randy passes out from all the drinking., Randy only drinks 11% of drinks he buy,Contradiction,intensionality
ANLI12225,"How to clean potatoes<br>Start with clean hands. Be sure to wash your hands first using an antibacterial soap, and to rinse them well. You don't want to transfer any bacteria to your clean potatoes.","Be sure to wash your hands first using an antibacterial soap, and to rinse them well with a lot of dirt.",Contradiction,intensionality
ANLI12487,"Hellgate (originally titled Shadows) is a 2011 American-Thai supernatural thriller directed and written by John Penney, starring William Hurt and Cary Elwes. Elwes plays the sole survivor of a car crash who, upon seeing ghosts, seeks help from a spiritual guru (Hurt).",Hellgate was released in American before Thailand,Neutral,intensionality
ANLI12712,"I look forward to our study of Bill C-54, and the appearance before the Standing Senate Committee on Banking, Trade and Commerce of the Privacy Commissioner, who for many years has advocated that his office act as supervisor of the application of the various privacy codes developed by financial and other institutions.",His office has acted as supervisor of the various privacy codes for many years.,Contradiction,intensionality
ANLI12951,Rip Off<br>Sarah was at the market. And she wanted to buy cabbage juice. And she saw a 16 ounce bottle for $6. She knew it was just cabbage and water. So she decided to buy her own juicer instead.,Sarah did not buy cabbage juice.,Entailment,intensionality
ANLI13160,"""Sultans of Swing"" is a song by British rock band Dire Straits from their eponymous debut album, which band frontman Mark Knopfler wrote and composed. Although it was first released in 1978, it was its 1979 re-release that caused it to become a hit in both the UK and U.S.",Dire Straits never wanted to be popular in the United States.,Neutral,intensionality
ANLI13506,"Some of the healthy folks, healthy young kids say I'll never get sick, therefore I don't need health care right now. For those what I think we need to do is to develop an investment-type vehicle that would be an incentive for them to invest, like medical savings accounts with rollover capacity.",Healthy folks never get sick.,Contradiction,intensionality
ANLI13911,Mexican Food<br>Ethan loved his trip to Mexico. He tried lots of food. He came home and wanted more. He looked up those restaurants. He ate at one he liked.,Ethan visted Americas neighbor,Entailment,intensionality
ANLI13946,"The budgetary measures include tax relief for interest on all student loans, interest relief for more graduates, extended repayment periods for those who need them, extended interest relief periods for those who remain in financial difficulty and reductions in loan principal for those who still face financial difficulty.",The budgetary measures include loans that are paid off.,Contradiction,intensionality
ANLI14119,Poor Trays<br>Tim was trying to make ice. He had to do it the old fashioned way with trays. Tim's trays were old and breaking apart. He got pieces of broken plastic everywhere. Tim finally decided to invest in new trays.,Tim needs new trays,Entailment,intensionality
ANLI14187,Bachelor Party<br>Tim was getting married. His friends wanted to throw him a bachelor party. His fiance was completely against it. Tim did it behind her back anyway. His fiancee dumped him before the wedding.,Tim ended up dumping his fiancee before the wedding because of the bachelor party.,Contradiction,intensionality
ANLI14417,"So gun laws are important, no question about it, but so is loving children, and character education classes, and faith-based programs being a part of after-school programs. Some desperate child needs to have somebody put their arm around them and say, we love you.",Gun laws are crucial but not loving children,Contradiction,intensionality
ANLI14460,"I look forward to our study of Bill C-54, and the appearance before the Standing Senate Committee on Banking, Trade and Commerce of the Privacy Commissioner, who for many years has advocated that his office act as supervisor of the application of the various privacy codes developed by financial and other institutions.",The Privacy Commissioner has been an advocate for supervision,Entailment,intensionality
ANLI14880,"Swimming<br>When Steven was 7, he wanted to learn how to swim. He took lessons once a week for a few months. He realized he loved swimming so he joined a swim team. He constantly improved his skills over the years. Next week, he swims for the USA in the Olympics.",Steven has swam for a long time,Entailment,intensionality
ANLI14973,"The Tasmanian Legislative Council is the upper house of the Parliament of Tasmania in Australia. It is one of the two chambers of the Parliament, the other being the House of Assembly. Both houses sit in Parliament House in the state capital, Hobart. Members of the Legislative Council are often referred to as MLCs.",The Tasmanian Legislative Council wants to move out of Hobart.,Neutral,intensionality
ANLI14976,"That's what it's meant to do. And when it gets overextended, morale drops. I strongly believe we need to have a military presence in the peninsula, not only to keep the peace in the peninsula, but to keep regional stability. And I strongly believe we need to keep a presence in NATO, but I'm going to be judicious as to how to use the military.",They support the north alliance treaty,Neutral,intensionality
ANLI15800,How to feed orphaned newborn puppies<br>Buy necessary supplies. To feed a newborn puppy you will need a bottle made specially for feeding newborn puppies and milk replacement formula. The bottle and formula can both be purchased at most large pet supply stores or online.,Feeding newborn puppies requires lots of supplies. ,Contradiction,intensionality
ANLI15909,"Flying!<br>Lucy dreamed to fly over the ocean. She took a plane but couldn't feel the wind and was disappointed. She decided to go to the beach and try to do some parasailing. Five hundred feet above the ocean, she felt the wind. She was very happy and spread her arms very wide.",Parasailing was a dream come true for Lucy. ,Entailment,intensionality
ANLI15954,"""I Don't Ever Want to See You Again"" is a song performed by American contemporary R&B singer Uncle Sam. It is the closing track on his eponymous debut album and was issued as the album's lead single. The song was written and produced by Boyz II Men member Nathan Morris. Released in 1997, it was Sam's only hit on the ""Billboard"" Hot 100, peaking at #6 in 1998.","Uncle Sam called his first album ""Uncle Sammy""",Neutral,intensionality
ANLI16120,"That's fine. And I note that, and that's why I wanted to do this on the record. And I understand that you object to that, and I understand the defendants have interposed not only this objection but they have also argued against that. And to the extent that this really clarifies and reasserts what I have in my prior orders, I think you've preserved your position as it relates to that, and I understand that position.",The plaintiff objects to the judge's comments being on record.  ,Neutral,intensionality
ANLI16146,Reba gets robbed<br>Reba is walking down the street. She gets mugged. Her purse is taken and her watch. She tries running after them. She cannot catch them and they get away.,Reba lost her watch to a mugger.,Entailment,intensionality
ANLI16304,"How to make easy caramel<br>Measure out the ingredients before you start cooking. Timing is very important when making caramel, since it can easily burn, and you don't want to have to search around your kitchen for a measuring cup while your sugar is boiling. Place a heavy-bottomed saucepan on the stove.",Put a frying pan on the stove.,Contradiction,intensionality
ANLI16366,"Peter Chelsom (born 20 April 1956) is a British film director, writer, and actor. He has directed such films as ""Hector and the Search for Happiness"", ""Serendipity"", and ""Shall We Dance?"" Peter Chelsom is a member of the British Academy, the American Academy, The Directors Guild Of America, and The Writers Guild Of America.","He has directed such films as ""Hank and the Search for Happiness"", ""Serendipity"", and ""Shall We Dance?""",Contradiction,intensionality
ANLI16394,"U.S. policy on drug trafficking is not consistent with the need to put an end and actively repress the consumption of drugs. The solution is not based on the destruction of a native plant, coca, in the continent, but on an active fight against the Colombian drug mafia, which has created a great money and crime empire in Colombia with powerful ramifications outside its borders.",The solution is not based on an active fight against the Colombian drug mafia. ,Contradiction,intensionality
ANLI16407,"How to make a watermelon smoothie using a drill<br>Place your watermelon on a large table. By using the knife, make a hole in the middle of the watermelon. Remove any parts from the hanger to have just the wire.",A very big chair is needed to make a watermelon smoothie using a drill,Contradiction,intensionality
ANLI16434,Grilled Cheese<br>Josh was homesick. All he wanted was his mom's grilled cheese. He finally decided to try to make it himself. He bought all the ingredients and tried his best. The result was a perfect grilled cheese just like his mom's.,Josh misses his home,Entailment,intensionality
ANLI16795,"I've said it before, I say it again: I believe the president broke faith to the American people in the way that he took this nation to war. He said he would work through a real alliance. He said in Cincinnati we would plan carefully, we would take every precaution. Well, we didn't. And the result is our forces today are overextended.",The president started a war.,Entailment,intensionality
ANLI17013,Golfing<br>I have wanted to try golfing for many years . My husband loves to golf and so I constantly ask him. He has told me many times that he knows I will hate golf. I persisted in asking until one day he said he would take me. He was right I was bad and it was the most boring sport I ever tried.,my husband was correct about me being bad at golf,Entailment,intensionality
ANLI17157,"Last week, Venezuelan producer Alejandro Ghersi, aka Arca, issued his self-titled LP, his “most daring and enthralling record yet.” In support, today he’s let loose a music video for the track “Desafio”. Not unlike his past clips, including the chilling “Reverie”, it’s a strange and abstract watch that finds Ghersi being dragged through a forest by a group of men who appear to want to do him harm. At the helms is collaborator and all-around creative genius Jesse Kanda, who manages to give even the simplest scenes such palpable atmospherics. Check it out above.",Alejandro Ghersi is a mexican producer,Contradiction,intensionality
ANLI18104,"Early<br>Tina wanted to spend more time with her mom. So when her mom invited her to go out one morning, Tina agreed. They left at 9 AM and went to several garage sales. Tina had hated getting up so early. But she loved spending time with her mother!",they left at nine thirty AM.,Contradiction,intensionality
ANLI18288,"I thank the hon. member from the Conservative Party for bringing forward this motion so that at least there is some discussion in the House of Commons about what really is a most fundamental and important aspect of people's daily lives, the right to adequate, safe, affordable shelter and housing in Canada.",The Conservative Party in Canada wants to discuss affordable housing in the house of commons.,Entailment,intensionality
ANLI18448,The relocation has enabled the company to eliminate the use of cyanide and chrome in its plating work replacing it with a soaplike solution.,cyanide is not needed,Entailment,intensionality
ANLI18589,"Flying!<br>Lucy dreamed to fly over the ocean. She took a plane but couldn't feel the wind and was disappointed. She decided to go to the beach and try to do some parasailing. Five hundred feet above the ocean, she felt the wind. She was very happy and spread her arms very wide.",She flew over the river.,Contradiction,intensionality
ANLI18749,"When he approached Mr. Landry, did the Prime Minister tell him that this intervention in the field of education was raising hackles in Quebec and that everyone involved-students, the academic community and federalists and sovereignists alike-strongly opposed the federal government's intrusion into an area of provincial jurisdiction?",The narrator wants to know if Mr. Landry was given all the information,Entailment,intensionality
ANLI19280,"I hope the Minister of Human Resources Development and her officials will really take note of what I said, will follow up on the issue that I raised and will amend the employment insurance program, so as to meet the needs of workers and, above all, eliminate child poverty in this country.",I hope the Minister of Human Species Development and her officials will really take note of what I said,Contradiction,intensionality
ANLI19557,"How to sprint 100 meters<br>Train for the race. In order to get in shape to compete in the 100 m, you've got to do some general training beforehand. You need to improve your overall cardiovascular system and do a little endurance training.",Running the 100 meter sprint requires little endurance training,Contradiction,intensionality
ANLI19882,"Alan Metter is an American film director whose most notable credits include ""Back to School"" starring Rodney Dangerfield, and ""Girls Just Want to Have Fun"" with Sarah Jessica Parker. He also produced and directed the 1983 television special ""The Winds of Whoopie"" for Steve Martin.",Alan Metter has directed war films.,Neutral,intensionality
ANLI20103,"An official of Abyan police, where 16 Western tourists are being held since yesterday, announced that the hostages are held by the Yemeni ""Islamic Jihad"" group, which is demanding the release of its leader and lifting the embargo on Iraq.",The Islamic Jihad wants it's leader released and the embargo on Iran lifted.,Contradiction,intensionality
ANLI20207,"Anna the Photographer<br>Anna really wanted to be a photographer. She had an artistic eye and took decent photos. She knew she needed to improve her skills, though. Anna enrolled in a photography class. After saving up for a nice camera, she booked her first photo shoot.",anna interacts with people,Entailment,intensionality
ANLI20349,Tree<br>There was a tree we thought was dead. We tried getting estimates but it was expensive. But a big storm then rolled through. The high winds brought down the tree. Fortunately it didn't damage anything.,The tree fell over.,Entailment,intensionality
ANLI20368,"I am sure I speak on behalf of all hon. members in also congratulating the parliamentary secretary who has done such a fantastic job of piloting the bill through the House and in committee in the face of the filibuster put up almost exclusively by the Reform Party, which does not want to see labour legislation advance in parliament.",Labour legislation has advanced in the House.,Entailment,intensionality
ANLI20503,"Kevin Vincent, 44, of Arlington, Va., said his wife buys store brand acetaminophen and he wanted to find out more about the problem.","Kevin Vincent, 44, of Arlington, Va., said his wife buys aleve brand acetaminophen and he wanted to find out more about the problem",Contradiction,intensionality
ANLI20668,"RED VERSUS YELLOW In broad terms, Thailand's crisis is a battle between the ""yellow shirts"" -- royalists, the military and urban Thais, who back Prime Minister Abhisit Vejjajiva -- and the ""red shirts"" -- supporters of former premier Thaksin Shinawatra whose power base was mainly drawn from the country's millions of rural poor. Bureaucratic and military elites have run Thailand for decades, with the poor excluded except during elections when competing parties would try to buy their votes. When Thaksin swept to power in 2000, promising a raft of policies aimed at the poor, things changed.",The red shirts are supports of the rural and poor and support the Prime Minister.,Contradiction,intensionality
ANLI20887,Randy gets drunk<br>Randy wants to have a good time. He buys some beers. He drinks them all. He becomes drunk. Randy passes out from all the drinking.,Randy bought some vodka.,Contradiction,intensionality
ANLI20907,"Long-term Gambian leader Yahya Jammeh has finally stepped down as the president of the West African country, paving way for the internationally recognised president Adama Barrow to take over the reins. Read the rest of the story on Guardian News Added January 20, 2017 from Guardian News",The citizens did not want a new president,Neutral,intensionality
ANLI21197,"— Ahead of their Universal Championship Match at the Royal Rumble, Brock Lesnar and Braun Strowman will both be under the same roof tonight on Raw at the Amway Center in Orlando, Florida. Before Raw, Strowman took to Twitter to send a message to Lesnar and Paul Heyman. The Monsters back for the first episode of #Raw for 2019!!!! Heard @BrockLesnar is gonna be there. I've got a bone to pick with him and his Ratvocate @HeymanHustle 👊🏻👊🏻 — Braun Strowman (@BraunStrowman) January 7, 2019 Here are seven things you need to know before Raw.",Braun Strowman has a problem with Brock Lesnar.,Entailment,intensionality
ANLI21682,Mexican Food<br>Ethan loved his trip to Mexico. He tried lots of food. He came home and wanted more. He looked up those restaurants. He ate at one he liked.,Ethan ate italian food,Contradiction,intensionality
ANLI21856,How to manage 3 g usage on an android device with 3 g watchdog<br>Download 3 g watchdog and appdroid from the android market (preferably over wifi). Open 3 g watchdog. Define your data plan's quota and starting date.,Your data plan is decided by your phone carrier. ,Contradiction,intensionality
ANLI22364,"Let me see .<br>I think that 's all . ''<br>`` I think not , '' said the Carrier .<br>`` Try again . ''<br>`` Something for our Governor , eh ? ''<br>said Caleb after pondering a little while .<br>`` To be sure .<br>That 's what I came for ; but my head 's so running on them Arks and things !<br>He has n't been here , has he ? ''<br>`` Not he , '' returned the Carrier .<br>`` He 's too busy , courting . ''<br>`` He 's coming round , though , '' said Caleb ; `` for he told me to keep on the near side of the road going home , and it was ten to one he 'd take me up .",The Governor told Caleb to keep on the near side of the road going home.,Entailment,intensionality
ANLI23465,"""I Don't Know What It Is"" is a song written and performed by Canadian-American singer-songwriter Rufus Wainwright. It was the first single from Wainwright's third studio album ""Want One"" and was released in a slim-line jewel case format on July 26, 2004.","Rufus Wainwright's ""I Don't Know What It Is"" was released after his second album but before July 27, 2004.",Entailment,intensionality
ANLI23475,"In the 1950s, the United States FBI began to maintain a public list of the people it regarded as the Ten Most Wanted Fugitives. Following is a brief review of FBI people and events that place the 1950s decade in context, and then an historical list of individual fugitives whose names first appeared on the 10 Most Wanted list during the decade of the 1950s, under FBI Director J. Edgar Hoover.","In the 1950s, the United States FBI began to maintain a public list of the people it regarded as the Ten Most Wanted Villians",Contradiction,intensionality
ANLI23648,"How to hire a good boss<br>Define the job duties and qualifications. The first step to becoming a good boss in a particular role is having an excellent understanding of the job and what is needed to be successful. [substeps] Without significant experience, obvious mistakes will be made and the boss's judgment will be questioned by subordinates.",The second step to becoming a good boss in a particular role is having an excellent understanding of the job and what is needed to be successful,Contradiction,intensionality
ANLI23712,"How to send an anonymous text<br>Create a new e-mail account for yourself. You don't want to use your personal account since the sender will be able to view your personal information (name, e-mail address, etc. ).",An anonymous text does not reveal your name.,Entailment,intensionality
ANLI23742,"Mary Small (born September 12, 1954) is an American politician from Maine. A Republican, Small served in the Maine House of Representatives from 1979 to 1994 and the Maine Senate from 1994 to 2002. From 2000 to 2002, Senator Small served as the Republican Floor Leader. Small was unable to seek re-election in 2002 due to term-limits. Small represented Bath, Maine and Sagadahoc County.","Bath, Maine and Sagadahoc County were respresented by the Democratic Floor Leader, Mary Small.",Contradiction,intensionality
ANLI23772,Painting<br>Kate's mom was painting the living room. Her mom was eager and began talking about the paint. Kate didn't want to spend the day painting. Kate slunk off silently and went to her room as he mom kept talking. She closed her door and hoped her mom wouldn't come ask for help.,kates daughter is antisocial,Neutral,intensionality
ANLI23936,"Pamunuwa is a suburb of colombo city and near to Maharagama in Sri Lanka and is famous as a destination for clothing and textile. It is located within Western Province. From raw materials needed in textile industry to ready-made garments, Pamunuwa has been a center of attraction to people all over the country.",Pamunuwa isn't located within the Easter Province.,Entailment,intensionality
ANLI24296,How to feed orphaned newborn puppies<br>Buy necessary supplies. To feed a newborn puppy you will need a bottle made specially for feeding newborn puppies and milk replacement formula. The bottle and formula can both be purchased at most large pet supply stores or online.,Puppies contains three instances of the letter p.,Entailment,intensionality
ANLI24446,Baseball<br>Sammy wanted to learn how to play baseball. He signed up for his school baseball team. He practiced everyday for a month. Bill finally had his first game. He hit a homerun!,Sammy practiced baseball with diligence.,Entailment,intensionality
ANLI24501,"Swimming<br>When Steven was 7, he wanted to learn how to swim. He took lessons once a week for a few months. He realized he loved swimming so he joined a swim team. He constantly improved his skills over the years. Next week, he swims for the USA in the Olympics.",Steven's childhood hobby became a career,Entailment,intensionality
ANLI24828,"There's been too much finger pointing and too much name calling in Washington, D.C. I would like to unite this country to get an agenda done that will speak to the hopes and aspirations of the future. I want to have an education system that sets high standards, local control of schools and strong accountability.",The people in thegovernment are blaming each other and being hateful. ,Entailment,intensionality
Fever1105,"What a Girl Wants (Christina Aguilera song) . The single eventually earned gold certifications in countries including Australia , Belgium , Sweden and the US .",What a Girl Wants earned a silver certification in Belgium.,Contradiction,intensionality
Fever2044,"Anorexia nervosa , often referred to simply as anorexia , is an eating disorder characterized by a low weight , fear of gaining weight , a strong desire to be thin , and food restriction .",Anorexia nervosa is wrongly believed to be characterized by food restriction.,Contradiction,intensionality
Fever2351,"Tina Turner . Her solo success continued thoughout the 1980s and 90s with multi-platinum albums including Break Every Rule and Foreign Affair , and with singles such as `` We Do n't Need Another Hero ( Thunderdome ) '' , `` The Best '' , and `` GoldenEye '' for the 1995 James Bond film of the same name .",Tina Turner made a song for an Indiana Jones film.,Neutral,intensionality
Fever2918,"Wyatt Berry Stapp Earp ( March 19 , 1848 -- January 13 , 1929 ) was an American Old West gambler , a deputy sheriff in Pima County , and deputy town marshal in Tombstone , Arizona Territory , who took part in the gunfight at the O.K. Corral , during which lawmen killed three outlaw cowboys . In 1870 , Earp married his first wife , Urilla Sutherland Earp , who contracted typhoid fever and died shortly before their first child was to be born . Earp was a lifelong gambler and was always looking for a quick way to make money .",Wyatt Earp was a human.,Entailment,intensionality
Fever3754,"Tina Turner . Her solo success continued thoughout the 1980s and 90s with multi-platinum albums including Break Every Rule and Foreign Affair , and with singles such as `` We Do n't Need Another Hero ( Thunderdome ) '' , `` The Best '' , and `` GoldenEye '' for the 1995 James Bond film of the same name .",Tina Turner made a song for Golden Eye.,Entailment,intensionality
Fever4037,"Demi Lovato . She entered a treatment center in November 2010 to seek help for addictions , an eating disorder , and self-harm . She has also become an advocate for the LGBT community , and women 's rights .",Demi Lovato is an advocate for snacks.,Neutral,intensionality
